Page,Result ID,Result Number,Relevance,Query Language
1,1036,0,0,Spanish
1,1037,1,0,Spanish
1,1038,2,0,Spanish
1,2776,3,0,Spanish
1,2777,4,0,Spanish
1,2778,5,0,Spanish
2,1065,0,0,English
2,1066,1,0,English
2,1067,2,0,English
2,1068,3,0,English
2,1069,4,0,English
2,1070,5,0,English
3,2746,0,0,Spanish
3,2747,1,0,Spanish
3,2748,2,0,Spanish
3,1007,3,0,Spanish
3,1008,4,1,Spanish
3,1009,5,0,Spanish
4,1095,0,0,English
4,2833,1,0,English
4,1096,2,0,English
4,2834,3,0,English
4,1097,4,0,English
4,2835,5,0,English
5,2717,0,0,Spanish
5,2718,1,0,Spanish
5,2719,2,0,Spanish
5,2720,3,0,Spanish
5,2721,4,0,Spanish
5,2722,5,1,Spanish
6,1124,0,0,English
6,1125,1,0,English
6,1126,2,0,English
6,2860,3,0,English
6,2861,4,0,English
6,2862,5,0,English
7,948,0,0,Spanish
7,949,1,0,Spanish
7,950,2,0,Spanish
7,951,3,0,Spanish
7,952,4,0,Spanish
7,953,5,0,Spanish
8,2889,0,0,English
8,2890,1,0,English
8,1153,3,0,English
8,2891,2,0,English
8,1154,4,0,English
8,1155,5,0,English
9,919,0,0,Spanish
9,2660,1,0,Spanish
9,920,2,0,Spanish
9,2661,3,0,Spanish
9,921,4,0,Spanish
9,2662,5,0,Spanish
10,2918,0,0,English
10,2919,1,0,English
10,2920,2,0,English
10,2921,3,0,English
10,2922,4,0,English
10,2923,5,0,English
11,889,0,0,Spanish
11,890,1,0,Spanish
11,891,2,0,Spanish
11,2630,3,1,Spanish
11,2631,4,1,Spanish
11,2632,5,1,Spanish
12,1213,0,0,English
12,1214,1,0,English
12,1215,2,0,English
12,1216,3,0,English
12,1217,4,0,English
12,1218,5,0,English
13,2602,0,0,Spanish
13,2603,1,0,Spanish
13,2604,2,0,Spanish
13,861,3,0,Spanish
13,862,4,0,Spanish
13,863,5,0,Spanish
14,1243,0,1,English
14,2976,1,0,English
14,1244,2,1,English
14,2977,3,0,English
14,1245,4,1,English
14,2978,5,0,English
15,2574,0,0,Spanish
15,2575,1,0,Spanish
15,2576,2,0,Spanish
15,2577,3,0,Spanish
15,2578,4,0,Spanish
15,2579,5,0,Spanish
16,1271,0,1,English
16,1272,1,1,English
16,1273,2,1,English
16,3003,3,0,English
16,3004,4,0,English
16,3005,5,0,English
17,801,0,0,Spanish
17,802,1,0,Spanish
17,803,2,0,Spanish
17,804,3,0,Spanish
17,805,4,0,Spanish
17,806,5,0,Spanish
18,3033,0,0,English
18,3034,1,0,English
18,3035,2,0,English
18,1300,3,1,English
18,1301,4,1,English
18,1302,5,1,English
19,771,0,0,Spanish
19,2518,1,0,Spanish
19,772,2,0,Spanish
19,2519,3,0,Spanish
19,773,4,0,Spanish
19,2520,5,1,Spanish
20,1771,0,0,English
20,1772,1,0,English
20,1773,2,0,English
20,1774,3,0,English
20,1775,4,0,English
20,1776,5,0,English
21,742,0,0,Spanish
21,743,1,0,Spanish
21,744,2,0,Spanish
21,2489,3,0,Spanish
21,2490,4,0,Spanish
21,2491,5,1,Spanish
22,2461,0,0,Spanish
22,2462,1,0,Spanish
22,2463,2,1,Spanish
22,712,3,0,Spanish
22,713,4,0,Spanish
22,714,5,1,Spanish
23,61,0,0,English
23,1829,1,0,English
23,62,2,0,English
23,1830,3,0,English
23,63,4,0,English
23,1831,5,0,English
24,2433,0,0,Spanish
24,2434,1,0,Spanish
24,2435,2,0,Spanish
24,2436,3,0,Spanish
24,2437,4,0,Spanish
24,2438,5,0,Spanish
25,91,0,0,English
25,92,1,1,English
25,93,2,0,English
25,1857,3,0,English
25,1858,4,0,English
25,1859,5,0,English
26,654,0,0,Spanish
26,655,1,0,Spanish
26,656,2,0,Spanish
26,657,3,0,Spanish
26,658,4,0,Spanish
26,659,5,0,Spanish
27,1885,0,0,English
27,1886,1,0,English
27,1887,2,1,English
27,120,3,0,English
27,121,4,0,English
27,122,5,1,English
28,624,0,0,Spanish
28,2376,1,1,Spanish
28,625,2,0,Spanish
28,2377,3,1,Spanish
28,626,4,0,Spanish
28,2378,5,0,Spanish
29,1914,0,1,English
29,1915,1,1,English
29,1916,2,1,English
29,1917,3,0,English
29,1918,4,0,English
29,1919,5,1,English
30,477,0,0,Spanish
30,2231,1,0,Spanish
30,478,2,0,Spanish
30,2232,3,0,Spanish
30,479,4,0,Spanish
30,2233,5,0,Spanish
