,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177
NOT_AOI Saccade Lengths,39.65922432249116,120.47517838308981,135.38788790536094,93.83554485126216,46.193925394329824,87.78019828228688,125.3923446063013,47.39700976579122,121.74029067549392,39.27823068881384,39.85460392611455,33.83235967573168,33.28770549613722,32.588677553035616,90.56700495012596,27.6630235998324,132.64262107876073,74.4869683637036,26.330417577731446,129.16865109825994,254.1327763286472,39.367613157894276,151.76402477446365,38.703476001294085,69.13287488281553,61.04141795131072,32.347813498861434,22.73003911804372,5.891305808117915,43.096086479134044,78.95848047890607,39.18392956897255,103.03836781989418,42.27702777208123,31.99917185128688,34.026973362327766,70.97855700718958,171.02067415368325,161.53248830404917,218.55521367435395,76.01259982525696,527.8477685439191,84.977393554977,74.80142692078665,74.36944481915285,184.11480995076502,98.06119172323598,45.82006372030111,64.68205778186092,20.30623121063543,151.72319596853288,18.409623501334675,35.44376976467403,28.591246202058457,40.10281890266518,112.49044315961292,131.262884191523,69.124206941591,35.12429179944866,51.19107714571829,14.898736323264,27.13932457768902,23.2089278236626,39.87705151523787,21.222216100332265,42.19141245956206,112.87181957745806,45.10114110922552,34.653961960059235,62.02808342483535,71.0745971718156,32.97151824245243,19.10418389395096,93.38084812461607,56.439664707400546,116.98818018225448,48.929259761002086,70.09405082798138,115.85313308112232,54.1458986687389,66.08663771875973,36.979197463407566,40.34195519748351,90.71577427248702,23.738316259484353,78.53282424396687,39.63051965917783,61.551948311763894,32.21070779694009,2.2470634005378547,34.3197523689483,54.0329271327321,110.80924119095042,57.031433727977934,102.9286530561325,47.80792303499462,38.403668556411354,187.06939630632763,34.84072259406521,94.19174349238425,179.7630607009227,219.67545185996045,137.752610605518,210.95692105386863,160.81068674909648,163.75189136900084,61.32949157053026,142.0860734855204,164.4433779209112,47.649991644566015,53.362062394922816,138.55529916793142,166.15596202106425,130.26677169039843,215.59907010280892,19.627920362554264,68.42536242694632,60.948498770252385,37.363199509690624,111.11121386458795,111.3527307098735,75.39124553077575,32.32275744392166,82.35782729109042,38.62780526202466,33.50915604333819,62.70078591879325,106.05453104584544,131.2460722120182,58.65863167145681,30.54723227157181,37.11645565618504,84.64392266120775,74.6467324820146,35.64296133123254,160.34965816449736,38.41247315637614,33.52248223935466,29.080884710929073,11.294720103525977,24.31690530947354,14.158882736544127,26.664897715235128,98.83978715710296,124.38485686641754,82.39183904832359,112.73437978064612,153.311690166689,170.70190813141912,24.525932349851207,36.25879891416737,54.81693866420636,80.04816479792845,51.16093371846312,13.637927343509322,10.66069549284888,12.25293825960522,34.84239077374867,12.656159248479776,22.427863416905783,49.60210528197875,33.43011486729456,36.58209292479055,86.3827291104263,55.40530623164204,51.27582943860036,56.275700780080825,43.72941480917985,86.96946380196955,54.49645602026488,83.26298481591144,175.3365533822211,301.56753106556624,98.6346071767515,68.32874953890372,36.05326818766838,123.03302979850747,57.29697691741229
NOT_AOI Absolute Saccade Angles,153.76910854596503,-64.79217936011203,-36.92344214820839,-20.830545021274453,21.43774476178516,-32.73216423165037,-49.019057688795726,-71.74732213301228,171.21650253465833,122.743841853239,-54.57618728181722,-56.059414789696184,-144.63425435089962,-151.08482720065751,-174.0922161192106,133.2901069377028,-58.69128895160435,-163.83494147044706,103.7173844948317,-128.6133969118447,80.15424816800713,32.58417500353307,-7.0641521773441855,-82.96708850383841,-132.50087500544404,-6.007060976567159,91.78239375051706,91.58526736487462,158.08039267263646,-50.38833190245632,-98.21090103288662,-84.62118751356287,-153.0388066889642,-69.34334361362853,-121.57035011568203,-145.56874553352924,166.98008343434742,136.48398183138727,101.74333687864693,95.7331685141799,9.540067331000673,-69.10826097501095,-32.931193350168634,166.4865919935939,-168.8470912390242,63.27506047239045,39.3406982941147,53.64553505600492,154.36101883422657,135.0699566760558,83.33470035716466,166.6626825248516,22.791336394113397,149.7667800453799,-80.14718179414464,-133.66161223840038,-176.251755290034,-56.48025392353374,-34.655177156879944,124.32095950185247,34.94790397047132,-120.46878843908654,-127.0677705169769,-131.3060211597413,-26.868027278179795,-84.08664540389485,39.09965276737044,150.75052996562633,129.6241710133423,119.98926871499299,-100.3633552243806,-31.42707488788393,126.16691087590488,137.20424585352444,-139.02953669644305,-28.03039334828393,-29.545826940561195,-39.64868357560994,69.91633423281633,-148.50588979865,-151.43581917643868,172.97924480620478,-31.33816040079749,-32.451357855475464,107.99833210649,158.4349275644655,126.62114896821845,160.81748993773306,67.56248620505941,-36.447093568828386,-34.10460743819032,-150.04126631332264,-36.78252396550239,-93.55960259383701,-121.92231780628326,-136.8335601604251,-139.25491168457216,42.598119578790076,87.1274937500705,152.00544739347663,27.94413764278297,-1.7445871236183186,-51.713968489851695,-133.0960099684172,-160.6093311103441,125.33777947987151,131.47212706327338,-115.79501564259206,-104.3447537916844,-115.953346270756,114.16015481737928,89.06601315821358,117.13272652251662,49.52663856340893,-0.8744192501536333,-86.74034380089898,47.3184090331676,7.8956411541501605,140.32747883688387,158.89979159844734,161.24004474057202,116.44451838614525,42.21246537577545,8.871539839420349,-28.189549990951928,-31.393722950920516,-152.44685255358192,-166.85028175504098,-140.20422316650797,-10.662003913560017,20.349430207781996,25.54619188774944,157.96421492368418,89.52881504639662,114.33775361423079,152.74082539576602,42.50286174299824,32.401581274166915,26.34928499904134,-156.9456986677313,83.5063143516218,53.684005420068324,-59.37132819376139,54.679092086856826,-39.12776839781618,-11.673572407716993,-100.95897015324904,-70.0259153880627,-87.55519372884893,176.3666527862831,-128.02061110303774,-161.6140501038428,166.38767731232304,140.95280663630987,-92.22540945047881,-75.84028030434473,-113.91061550726751,10.622877509336641,-99.86496063631571,-17.843808192171046,-127.52450089653318,-44.93202988290967,121.6824400211944,-12.898609407696902,-92.70613434898017,-44.650321420287625,-41.26369472361172,78.62851502818646,-61.485233725143196,10.86607718623767,100.07476398921101,129.36339454410648,110.23358562059134,103.94351051889569,78.56755236446081,106.96595306344061,100.31146669107899,100.84224405263444
NOT_AOI Relative Saccade Angles,38.56128790607706,152.13126278809636,163.90710287306607,137.7317102169404,125.83009100656444,163.71310654285463,157.27173555578347,62.9638246676706,131.5273393185807,2.6799708649437934,178.51677249212105,91.42516043879655,173.5494271502421,156.99261108144688,127.38232305691344,11.981395889307146,74.85634748115727,87.5523259652788,52.33078140667639,28.767645079851793,132.42992683552595,140.35167281912274,104.09706367350579,130.46621349839438,53.506185971123124,82.21054527291578,179.8028736143576,113.50487469223816,28.468724575092775,132.17743086956972,166.41028648067623,111.5823808245987,96.30453692466438,127.77299349794654,156.00160458215274,132.5488289678767,149.50389839703982,145.25935504725967,173.989831635533,93.80689881682079,101.35167169398837,143.82293237515768,19.4177853437625,155.33368323261809,52.12215171141466,156.06563782172427,165.69516323810979,79.28451622177835,160.70893784182923,128.26474368110888,96.67201783231309,36.128653869261825,53.024556348733476,49.91396183952457,126.48556955574428,137.4098569483664,60.22849863349976,158.1749232333462,21.023863341267596,90.62694446861886,24.583307590442132,173.40101792210967,175.7617493572356,75.56200611843852,122.78138187428493,56.81370182873469,68.3491228017441,158.87364104771598,170.36509770165068,40.35262393937359,111.06371966350333,22.406014236211217,168.9626650223804,96.23378254996747,69.00085665184092,178.48456640772275,169.89714336495126,70.43498219157375,38.42222403146633,177.07007062221132,144.41506398264346,24.31740520700227,178.88680254532204,39.55031003803456,129.56340454202447,148.18622140375294,145.8036590304854,86.74499626732637,75.9904202261122,177.65751386936194,64.06334112486772,66.74125765217978,123.22292137166541,151.6372847875537,165.08875764585818,177.5786484758529,1.8530312633622423,135.4706258287196,115.12204635659388,55.93869024930634,150.3112752335987,130.03061863376664,98.61795852143447,152.4866788580731,105.9471105902156,173.86565241659815,67.26714270586541,168.54973814909232,168.3914075209284,50.11350108813527,154.9058583408343,151.93328663569696,112.39391204089233,129.59894218643743,94.13407544925465,45.94124716593342,140.5772321209826,47.56816231726631,161.42768723843656,177.65974685787532,135.20447364557324,105.76794698963022,146.6590744636449,142.93891016962772,176.7958270400314,58.94687039733862,165.5965707985409,153.35394141146702,50.45778074705207,148.988565878658,174.80323832003253,47.58197696406528,111.56460012271245,155.19106143216584,141.59692821846474,69.76203634723221,169.89871953116867,173.94770372487443,3.2949836667726395,60.45201301935309,150.17769106844653,66.94466638617027,65.94957971938176,86.19313951532698,152.54580400990082,90.71460225446796,149.0669452348137,162.47072165921378,83.92184651513202,124.38726388932085,146.40656099919494,148.00172741616583,154.56512932398684,53.178216086788666,163.61487085386594,141.92966479707724,55.46650698339587,69.51216185434767,97.97884755585535,70.31930729563786,97.40752898637648,13.385530095895941,45.4189505711087,100.19247505871674,131.94418707130745,176.61337330332407,60.10779024820183,39.88625124667035,107.64868908861914,90.79131319702667,150.7113694451045,160.87019107648484,173.70992489830437,154.62404184556513,151.60159930102017,173.3455136276384,179.46922263844456,
